Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Mass air flow rate (lb/min), Barometric pressure (inHg), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 1  sensor 2 (°F), Intake air temperature bank 1  sensor 3 (°F), Commanded fuel rail pressure A (inHg), Fuel rail pressure A (inHg), Boost (psi), Acceleration (ft/s²), Acceleration (Avg) (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Altitude (ft)
16.012,0,8.268428,1592.75,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1668.4507,-10.297679,0,0,9.076708,29.93056,0,0,45.058083,-92.95468,1005.65906
16.262,0,8.268428,1592.75,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1624.1555,-10.297679,0,0,9.173141,30.248547,0,0,45.058083,-92.95468,1005.65906
16.512,0,8.268428,1593.75,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1695.0277,-10.297679,0,0,9.076708,29.91178,0,0,45.058083,-92.95468,1005.65906
16.769,0,7.973127,1594.75,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1715.6989,-10.442718,0,0,9.173141,30.210611,0,0,45.058086,-92.95469,1006.9118
17.012,0,8.268428,1597.25,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1641.8735,-10.297679,0,0,9.173141,30.163326,0,0,45.058086,-92.95469,1006.9118
17.262,0,7.973127,1597.25,0,1.014741,29.234798,55.4,0,60.8,62.6,0,1674.3567,1695.0277,-10.442718,0,0,9.245465,30.401144,0,0,45.058086,-92.95469,1006.9118
17.512,0,8.268428,1597.75,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1674.3567,-10.297679,0,0,9.173141,30.153887,0,0,45.058086,-92.95469,1006.9118
17.762,0,7.973127,1599.25,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1686.1687,-10.442718,0,0,9.173141,30.125605,0,0,45.058086,-92.95469,1006.9118
18.012,0,8.268428,1600,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1635.9675,-10.297679,0,0,9.173141,30.111483,0,0,45.058086,-92.95469,1007.3011
18.262,0,8.268428,1600.75,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1659.5917,-10.297679,0,0,9.173141,30.097374,0,0,45.058086,-92.95469,1007.3011
18.512,0,8.268428,1601,0,1.014741,29.234798,55.4,0,60.8,62.6,0,1674.3567,1671.4037,-10.297679,0,0,9.245465,30.329937,0,0,45.058086,-92.95469,1007.3011
18.771,0,8.268428,1602.75,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1700.9337,-10.297679,0,0,9.076708,29.743814,0,0,45.058086,-92.95469,1007.3011
19.012,0,8.268428,1602,0,1.006803,29.234798,55.4,0,60.8,62.6,0,1674.3567,1662.5447,-10.297679,0,0,9.173141,30.07389,0,0,45.05809,-92.95468,1008.1303
19.263,0,8.268428,1601,0,0.996219,29.234798,55.4,0,60.8,62.6,0,1674.3567,1730.4639,-10.297679,0,0,9.076708,29.776325,0,0,45.05809,-92.95468,1008.1303
