Time (sec), Instant fuel economy (MPG), Calculated load value (%), Engine coolant temperature (°F), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Engine oil temperature (°F), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg)
87.995,34.55913,19.607843,98.6,8.268428,1401.25,19.262506,5.098039,64.4,0,86,66.2,0.6320398,-10.587755,7.642275,28.644491,0.21922871,10.47842,45.05699,-92.958374
89.010,34.55913,19.607843,98.6,8.268428,1401.25,19.262506,5.098039,64.4,0,86,66.2,0.6320398,-10.587755,7.642275,28.644491,0.21922871,10.47842,45.05698,-92.95839
89.999,20.80948,23.137255,98.6,9.449632,1085.5,12.4274235,5.098039,64.4,0,86,66.2,0.7638993,-10.007604,8.188276,39.61838,0.23074642,10.740223,45.056973,-92.958405
91.002,20.80948,23.137255,98.6,9.449632,1085.5,12.4274235,5.098039,64.4,0,86,66.2,0.7638993,-10.007604,8.188276,39.61838,0.23074642,10.740223,45.056957,-92.95845
92.029,1.2837819,57.2549,98.6,33.07371,2696.25,3.7282271,15.686275,64.4,9.411765,86,66.2,2.0711825,1.5954151,39.818398,77.56355,0.23367687,9.818485,45.05694,-92.958534
92.997,1.2837819,57.2549,98.6,33.07371,2696.25,3.7282271,15.686275,64.4,9.411765,86,66.2,2.0711825,1.5954151,39.818398,77.56355,0.23367687,9.818485,45.056908,-92.95863
94.010,5.451236,40.784313,98.6,25.986488,2444.5,15.53428,16.862745,64.4,9.019608,86,66.2,4.0421586,-1.8854905,39.072285,83.94848,0.24254462,9.579083,45.05688,-92.95875
95.037,5.451236,40.784313,98.6,25.986488,2444.5,15.53428,16.862745,64.4,9.019608,86,66.2,4.0421586,-1.8854905,39.072285,83.94848,0.24254462,9.579083,45.056847,-92.95887
95.993,5.451236,40.784313,98.6,25.986488,2444.5,15.53428,16.862745,64.4,9.019608,86,66.2,4.0421586,-1.8854905,39.072285,83.94848,0.24254462,9.579083,45.05681,-92.95901
96.996,8.908049,18.82353,98.6,13.288545,1923,21.747992,8.627451,64.4,0.39215687,86,66.2,1.8740151,-8.122113,33.474125,91.424805,0.2566315,9.536124,45.05677,-92.95914
