Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Hard Brake Count, Latitude (deg), Longitude (deg), Bearing (deg)
158.998,0,11.81204,769.5,0,3.9215686,86,0,131,0.52914166,-8.702264,4.6018662,31.409386,0,0,0,44.886425,-93.30924,-1
160.009,0,11.516739,778.5,0,3.9215686,86,0,131,0.5112623,-8.847302,4.72265,31.861134,0,0,0,44.88643,-93.30924,-1
161.012,0,11.81204,774.75,0,3.9215686,86,0,131,0.52914166,-8.702264,4.72265,32.01535,0,0,0,44.88643,-93.30924,-1
161.989,0,11.81204,776.5,0,3.9215686,86,0,131,0.5264159,-8.702264,4.72265,31.943197,0,0,0,44.88643,-93.30924,-1
162.994,0,11.516739,775.75,0,3.9215686,86,0,131,0.5152487,-8.847302,4.5414743,30.747454,0,0,0,44.88643,-93.30925,-1
163.996,0,11.516739,777,0,3.9215686,86,0,131,0.5207301,-8.847302,4.72265,31.922642,0,0,0,44.88643,-93.30925,-1
165.006,0,11.81204,775.75,0,3.9215686,86,0,131,0.5293121,-8.702264,4.6018662,31.156328,0,0,0,44.88643,-93.30926,-1
166.009,0,11.516739,775,0,3.9215686,86,0,131,0.51541483,-8.847302,4.662258,31.59575,0,0,0,44.886425,-93.309265,-1
167.002,0,11.516739,775,0,3.9215686,86,0,131,0.51325554,-8.847302,4.662258,31.59575,0,0,0,44.886425,-93.309265,-1
168.016,0,11.516739,775.25,0,3.9215686,86,0,131,0.5142521,-8.847302,4.72265,31.994701,0,0,0,44.886414,-93.30926,171.77785
169.002,0,11.516739,772.5,0,3.9215686,86,0,131,0.5119267,-8.847302,4.662258,31.698004,0,0,0,44.88642,-93.30927,-1
170.003,0,11.81204,784.5,0,2.745098,86,0,131,0.5264159,-8.702264,4.5414743,30.404509,0,0,0,44.886425,-93.309265,-1
171.008,0,9.449632,768.75,0,3.137255,86,0,131,0.4276746,-9.862566,3.2611651,22.280334,0,0,0,44.886425,-93.309265,-1
172.021,0,8.85903,768.5,0,3.137255,86,0,131,0.40324482,-10.152641,3.3940272,23.195597,0,0,0,44.886425,-93.309265,-1
173.006,0,9.154331,729.25,0,3.137255,86,0,131,0.39608964,-10.007604,3.3940272,24.444038,0,0,0,44.886425,-93.309265,-1
173.997,0,9.154331,719,0,3.137255,86,0,131,0.37800154,-10.007604,3.2611651,23.821985,0,0,0,44.886425,-93.309265,-1
175.009,0,9.154331,713.75,0,3.137255,86,0,131,0.37219223,-10.007604,3.2611651,23.99721,0,0,0,44.88643,-93.30925,-1
175.993,0,9.154331,699,0,3.137255,86,0,131,0.37694532,-10.007604,3.2128515,24.140572,0,0,0,44.88643,-93.30924,-1
177.008,0,9.449632,711.5,0,5.098039,86,0,131,0.39005885,-9.862566,3.2611651,24.073095,0,0,0,44.88643,-93.30924,-1
177.991,0,12.402642,765,0,3.9215686,86,0,131,0.5090902,-8.412189,4.5414743,31.179525,0,0,0,44.88643,-93.30924,-1
179.003,0,11.81204,789.75,0,3.9215686,86,0,131,0.5378301,-8.702264,4.72265,31.407272,0,0,0,44.88643,-93.309235,-1
180.003,0,11.516739,787,0,3.9215686,86,0,131,0.52355385,-8.847302,4.6018662,30.710957,0,0,0,44.886433,-93.30923,-1
