# StartTime = 08/06/2024 06:26:12.0367 AM
Time (sec), Instant fuel economy (MPG), Intake manifold absolute pressure (inHg), Engine RPM (RPM), Vehicle speed (MPH), Barometric pressure (inHg), Catalyst temperature (Bank 1 Sensor 1) (°F), Relative throttle position (%), Ambient air temperature (°F), Relative accelerator pedal position (%), Intake air temperature bank 1  sensor 1 (°F), Intake air temperature bank 2  sensor 1 (°F), Mass air flow rate (lb/min), Boost (psi), Acceleration (ft/s²), Engine Power (hp), Engine Torque (lb•ft), Trip Distance (miles), Trip Fuel Economy (MPG), Latitude (deg), Longitude (deg), Bearing (deg)
54.007,25.13,25.10,2192.25,66.49,29.53,805.10,12.94,60.80,7.45,62.60,0.00,3.23,-2.18,0.00,36.27,86.90,0.47,9.33,45.04,-92.99,278.60
55.004,29.79,23.92,2208.75,65.87,29.53,809.60,8.24,60.80,7.45,62.60,0.00,3.03,-2.76,-0.53,30.32,72.09,0.49,9.54,45.04,-92.99,278.64
56.006,26.83,23.62,2213.00,65.87,29.53,813.56,13.73,60.80,6.27,62.60,0.00,3.01,-2.90,-0.53,33.65,79.87,0.50,9.76,45.04,-92.99,278.55
56.995,51.95,17.13,2222.25,65.87,29.53,815.54,20.78,60.80,10.59,62.60,0.00,2.19,-6.09,0.00,17.38,41.08,0.52,9.97,45.04,-92.99,278.66
58.005,18.62,31.89,2206.75,65.87,29.53,819.68,10.20,60.80,7.45,62.60,0.00,4.09,1.16,0.00,48.50,115.43,0.53,10.13,45.04,-92.99,278.70
59.002,18.62,31.89,2206.75,65.87,29.53,819.68,10.20,60.80,7.45,62.60,0.00,4.09,1.16,0.00,48.50,115.43,0.53,10.13,45.04,-93.00,278.61
59.998,23.13,17.42,2200.50,65.87,29.53,828.86,24.71,60.80,13.73,62.60,0.00,2.22,-5.95,0.00,39.05,93.19,0.56,10.32,45.04,-93.00,278.83
61.002,23.13,17.42,2200.50,65.87,29.53,828.86,24.71,60.80,13.73,62.60,0.00,2.22,-5.95,0.00,39.05,93.19,0.56,10.32,45.04,-93.00,278.55
61.996,23.13,17.42,2200.50,65.87,29.53,828.86,24.71,60.80,13.73,62.60,0.00,2.22,-5.95,0.00,39.05,93.19,0.56,10.32,45.04,-93.00,278.84
63.005,11.98,30.12,2253.50,66.49,29.53,844.88,10.59,60.80,7.45,62.60,0.00,3.82,0.29,0.19,76.12,177.40,0.60,10.46,45.04,-93.00,279.10
64.002,11.98,30.12,2253.50,66.49,29.53,844.88,10.59,60.80,7.45,62.60,0.00,3.82,0.29,0.19,76.12,177.40,0.60,10.46,45.04,-93.00,278.44
65.003,35.22,17.72,2256.25,67.73,29.53,858.56,20.39,60.80,9.80,62.60,0.00,2.30,-5.80,0.61,26.37,61.38,0.64,10.96,45.04,-93.00,278.46
66.005,35.22,17.72,2256.25,67.73,29.53,858.56,20.39,60.80,9.80,62.60,0.00,2.30,-5.80,0.61,26.37,61.38,0.64,10.96,45.04,-93.00,278.45
67.011,46.66,10.93,2222.25,68.35,29.53,871.88,9.80,60.80,5.10,62.60,0.00,1.42,-9.14,0.63,20.09,47.47,0.68,11.48,45.04,-93.00,278.62
68.068,46.66,10.93,2222.25,68.35,29.53,871.88,9.80,60.80,5.10,62.60,0.00,1.42,-9.14,0.63,20.09,47.47,0.68,11.48,45.04,-93.00,278.39
69.106,27.63,24.81,2262.25,67.73,29.53,882.32,40.39,59.00,9.41,62.60,0.00,3.18,-2.32,-0.03,33.61,78.03,0.72,11.82,45.04,-93.00,278.73
70.011,27.63,24.81,2262.25,67.73,29.53,882.32,40.39,59.00,9.41,62.60,0.00,3.18,-2.32,-0.03,33.61,78.03,0.72,11.82,45.04,-93.00,278.70
71.007,118.31,7.38,2245.50,68.35,29.53,894.74,9.80,59.00,0.00,62.60,0.00,0.96,-10.88,-0.06,7.92,18.53,0.76,12.53,45.04,-93.00,278.77
72.029,118.31,7.38,2245.50,68.35,29.53,894.74,9.80,59.00,0.00,62.60,0.00,0.96,-10.88,-0.06,7.92,18.53,0.76,12.53,45.04,-93.00,278.98
73.013,111.73,6.50,2248.00,68.35,29.53,900.86,13.73,59.00,7.84,62.60,0.00,0.84,-11.31,0.18,8.39,19.60,0.81,13.13,45.04,-93.00,278.68
74.002,33.15,23.62,2243.75,68.35,29.53,903.56,6.27,59.00,0.00,62.60,0.00,3.06,-2.90,0.00,28.27,66.17,0.84,13.46,45.04,-93.00,278.50
74.999,98.66,6.20,2237.75,68.35,29.53,905.54,5.49,59.00,7.84,62.60,0.00,0.80,-11.46,0.00,9.50,22.29,0.85,13.67,45.04,-93.00,278.46
76.010,22.38,26.87,2236.75,67.73,29.53,908.06,7.84,59.00,1.96,62.60,0.00,3.51,-1.31,-0.49,41.50,97.45,0.89,13.91,45.04,-93.00,278.54
77.032,88.26,7.97,2243.75,68.35,29.53,909.86,9.80,59.00,7.84,62.60,0.00,1.03,-10.59,0.68,10.62,24.85,0.90,14.07,45.04,-93.00,278.53
78.012,23.99,24.51,2277.50,67.73,29.53,910.58,15.69,59.00,0.00,62.60,0.00,3.17,-2.47,0.15,38.71,89.27,0.92,14.17,45.04,-93.00,278.77
79.012,46.49,18.60,2300.00,68.35,29.53,912.92,16.86,59.00,9.80,62.60,0.00,2.44,-5.37,-0.06,20.16,46.03,0.93,14.36,45.04,-93.00,279.18
79.999,21.41,28.35,2273.00,68.97,29.53,915.98,11.37,59.00,0.00,62.60,0.00,3.76,-0.58,1.06,44.17,102.07,0.95,14.45,45.04,-93.00,278.47
81.002,115.18,6.50,2259.50,69.59,29.53,920.12,5.49,59.00,4.71,62.60,0.00,0.85,-11.31,0.49,8.28,19.26,0.98,14.89,45.04,-93.00,278.47
81.996,70.34,10.34,2263.25,68.97,29.53,921.20,10.59,59.00,6.67,62.60,0.00,1.35,-9.43,-0.62,13.44,31.20,1.00,15.06,45.04,-93.00,278.26
82.999,39.27,21.26,2265.25,68.97,29.53,921.92,12.16,59.00,7.06,62.60,0.00,2.78,-4.06,-0.62,24.08,55.84,1.01,15.20,45.04,-93.00,278.72
84.001,40.58,15.36,2259.50,68.97,29.53,923.36,9.02,59.00,5.88,62.60,0.00,2.01,-6.96,0.00,23.30,54.17,1.03,15.33,45.04,-93.00,278.87
85.002,40.58,18.01,2269.25,68.97,29.53,924.44,10.20,59.00,10.20,62.60,0.00,2.35,-5.66,0.00,23.30,53.94,1.04,15.48,45.04,-93.01,278.87
86.000,107.28,6.50,2241.00,68.35,29.53,925.88,9.02,59.00,2.35,62.60,0.00,0.84,-11.31,-0.63,8.74,20.47,1.08,15.84,45.04,-93.01,278.60
87.019,93.03,12.11,2249.75,68.35,29.53,926.06,15.29,59.00,8.63,62.60,0.00,1.57,-8.56,-0.63,10.07,23.52,1.09,16.00,45.04,-93.01,278.49
88.013,29.15,25.99,2253.50,67.73,29.53,926.24,15.29,59.00,8.63,62.60,0.00,3.37,-1.74,-0.55,31.86,74.24,1.11,16.11,45.04,-93.01,278.28
89.000,41.23,18.60,2232.00,68.35,29.53,927.86,10.98,59.00,6.27,62.60,0.00,2.42,-5.37,-0.13,22.73,53.49,1.13,16.29,45.04,-93.01,278.23
89.997,39.59,20.97,2258.75,67.73,29.53,929.48,16.86,59.00,9.41,62.60,0.00,2.70,-4.21,-0.19,23.46,54.55,1.14,16.40,45.04,-93.01,278.68
90.998,26.54,26.87,2232.00,68.35,29.53,932.00,19.22,59.00,7.06,62.60,0.00,3.50,-1.31,-0.06,35.31,83.10,1.16,16.49,45.04,-93.01,278.19
91.997,39.41,14.17,2237.75,68.35,29.53,933.26,14.90,59.00,0.00,62.60,0.00,1.83,-7.54,0.55,23.78,55.82,1.17,16.60,45.04,-93.01,278.72
93.000,35.49,21.85,2245.50,67.73,29.53,938.84,9.41,59.00,0.00,62.60,0.00,2.84,-3.77,-0.45,26.17,61.21,1.21,16.92,45.04,-93.01,278.36
94.000,57.85,12.11,2230.25,67.73,29.53,941.18,9.02,59.00,0.00,62.60,0.00,1.57,-8.56,0.00,16.05,37.80,1.22,17.07,45.04,-93.01,278.64
94.998,93.44,7.38,2197.25,67.11,29.53,942.08,5.10,59.00,3.92,62.60,0.00,0.95,-10.88,-0.54,9.85,23.54,1.24,17.25,45.04,-93.01,278.85
95.999,87.21,7.68,2210.75,66.49,29.53,942.62,7.06,59.00,5.88,62.60,0.00,0.97,-10.73,-1.08,10.45,24.83,1.25,17.43,45.04,-93.01,277.66
97.003,86.20,10.63,2188.75,65.24,29.53,943.16,11.76,59.00,7.06,62.60,0.00,1.35,-9.28,-1.14,10.38,24.90,1.28,17.71,45.04,-93.01,276.99
97.999,48.73,16.54,2183.00,65.24,29.53,943.34,7.45,59.00,0.00,62.60,0.00,2.09,-6.38,-0.50,18.36,44.16,1.30,17.85,45.04,-93.01,276.28
99.012,95.84,6.79,2168.75,64.62,29.53,942.80,4.71,59.00,1.57,62.60,0.00,0.86,-11.17,-0.58,9.24,22.39,1.31,18.01,45.04,-93.01,275.72
100.010,102.26,12.70,2197.25,64.00,29.53,941.72,9.02,59.00,0.00,62.60,0.00,1.59,-8.27,-1.12,8.58,20.51,1.33,18.18,45.04,-93.01,275.82
101.003,83.74,11.81,2185.00,63.38,29.53,941.18,43.53,59.00,10.98,62.60,0.00,1.50,-8.70,-1.08,10.38,24.94,1.34,18.33,45.04,-93.01,275.37
102.002,20.35,22.15,2181.00,64.00,29.53,942.44,8.63,59.00,6.27,62.60,0.00,2.82,-3.63,0.53,43.13,103.86,1.37,18.35,45.04,-93.01,275.10
103.008,28.08,24.51,2186.50,64.00,29.53,944.06,14.90,59.00,8.63,62.60,0.00,3.08,-2.47,0.53,31.25,75.08,1.38,18.42,45.04,-93.01,274.60
104.002,24.11,25.69,2179.50,64.00,29.53,945.14,10.98,59.00,9.80,62.60,0.00,3.24,-1.89,0.00,36.39,87.69,1.40,18.46,45.04,-93.01,273.43
104.995,23.16,28.94,2192.75,64.62,29.53,949.64,15.29,59.00,8.63,60.80,0.00,3.75,-0.29,0.47,38.25,91.63,1.43,18.48,45.04,-93.01,276.13
105.993,33.69,19.19,2165.00,64.62,29.53,953.60,11.37,59.00,7.06,60.80,0.00,2.43,-5.08,0.47,26.30,63.79,1.44,18.54,45.04,-93.01,272.87
107.004,30.89,21.26,2193.25,64.62,29.53,955.58,16.08,59.00,9.41,60.80,0.00,2.66,-4.06,0.00,28.69,68.70,1.45,18.60,45.04,-93.01,271.86
108.003,20.73,29.53,2189.25,65.24,29.53,962.24,22.35,59.00,10.20,60.80,0.00,3.73,0.00,0.61,43.15,103.52,1.48,18.68,45.04,-93.01,271.04
109.013,17.02,35.14,2200.00,65.24,29.53,968.18,9.02,59.00,7.84,60.80,0.00,4.44,2.76,0.00,52.56,125.49,1.49,18.66,45.04,-93.01,270.69
109.999,28.16,23.62,2202.00,65.87,29.53,973.76,11.37,59.00,9.80,60.80,0.00,3.00,-2.90,0.52,32.07,76.50,1.51,18.73,45.04,-93.01,270.37
111.012,25.27,31.60,2249.75,65.87,29.53,976.46,24.31,59.00,9.80,60.80,0.00,4.01,1.02,0.52,35.74,83.44,1.53,18.78,45.04,-93.01,270.61
112.002,14.70,33.37,2207.75,65.87,29.53,982.76,16.47,59.00,9.41,60.80,0.00,4.33,1.89,0.00,61.42,146.11,1.54,18.72,45.04,-93.02,270.00
113.005,16.44,32.48,2230.25,66.49,29.53,988.70,11.37,59.00,10.20,60.80,0.00,4.14,1.45,0.57,55.45,130.59,1.56,18.69,45.04,-93.02,269.21
114.021,20.69,30.42,2233.50,67.11,29.53,996.08,8.24,59.00,7.84,60.80,0.00,3.91,0.44,0.60,44.48,104.59,1.59,18.72,45.04,-93.02,268.94
115.013,25.42,28.64,2274.75,67.11,29.53,998.24,18.04,59.00,9.80,60.80,0.00,3.69,-0.44,0.60,36.19,83.56,1.60,18.75,45.04,-93.02,269.22
