Time (sec),Instant fuel economy (MPG),Intake manifold absolute pressure (inHg),Engine RPM (RPM),Vehicle speed (MPH),Relative throttle position (%),Ambient air temperature (°F),Fuel type,Relative accelerator pedal position (%),Mass air flow rate (lb/min),Boost (psi),Engine Power (hp),Trip Distance (miles),Trip Fuel Economy (MPG),Hard Brake Count,Latitude (deg),Longitude (deg),Bearing (deg)
133.003,60.505505,19.194565,2156.5,70.21494,9.411765,69.8,1,7.8431373,2.429797,-5.0763206,15.911361,1.6992102,18.219189,0,45.037434,-93.018425,268.55106
134.0,23.876612,28.644197,2210.75,70.21494,38.039215,69.8,1,14.117647,3.5636227,-0.43511322,40.320835,1.714888,18.262247,0,45.03743,-93.01882,268.7312
134.999,40.999622,15.946254,2181.0,70.21494,11.372549,69.8,1,9.019608,2.0337799,-6.671736,23.481312,1.7283814,18.336643,0,45.037426,-93.019226,268.82867
136.001,35.018375,22.738176,2171.0,70.83632,14.117647,69.8,1,9.019608,2.8757513,-3.335868,27.735285,1.7611549,18.479555,0,45.03742,-93.01963,268.66208
137.003,61.756344,18.899263,2229.25,70.83632,24.705883,69.8,1,12.54902,2.3670657,-5.221359,15.727042,1.7761525,18.587769,0,45.037407,-93.020004,268.95703
138.047,18.762161,30.711304,2240.0,70.83632,9.019608,69.8,1,6.6666665,3.9496865,0.58015096,51.76614,1.7897716,18.597424,0,45.0374,-93.02044,267.7834
139.083,41.089443,23.32878,2201.5,71.45769,15.294118,69.8,1,9.803922,2.9551566,-3.0457926,23.844673,1.8215059,18.746641,0,45.037388,-93.02085,267.4794
140.004,43.42003,16.241554,2190.0,72.079056,5.882353,69.8,1,0.0,2.0627751,-6.526698,22.761015,1.8352515,18.826044,0,45.037376,-93.02126,267.69217
141.006,43.42003,16.241554,2190.0,72.079056,5.882353,69.8,1,0.0,2.0627751,-6.526698,22.761015,1.8352515,18.826044,0,45.03737,-93.02167,268.07788
142.01,129.07962,24.805285,2200.5,71.45769,7.0588236,69.8,1,7.45098,3.1339633,-2.3206038,7.5903873,1.8490736,18.943665,0,45.03736,-93.02208,269.02386
143.008,129.07962,24.805285,2200.5,71.45769,7.0588236,69.8,1,7.45098,3.1339633,-2.3206038,7.5903873,1.8490736,18.943665,0,45.037354,-93.02249,269.12167
144.003,129.07962,24.805285,2200.5,71.45769,7.0588236,69.8,1,7.45098,3.1339633,-2.3206038,7.5903873,1.8490736,18.943665,0,45.037346,-93.0229,269.03748
145.002,95.22373,10.335535,2176.0,72.079056,13.725491,69.8,1,0.0,1.3120788,-9.427453,10.378547,1.8987606,19.341578,0,45.03734,-93.02331,268.2159
